Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Adresse_1,Adresse_2,Adresse_3,Code postal,Code_commune,Nom_commune,Code_departement,Code_academie,Code_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Apprentissage,Segpa,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Lycee_des_metiers,Post_BAC,Appartenance_Education_Prioritaire,GRETA,SIREN_SIRET,Nombre_d_eleves,Fiche_onisep,position,Type_contrat_prive,Libelle_departement,Libelle_academie,Libelle_region,coordonnee_X,coordonnee_Y,epsg,nom_circonscription,latitude,longitude,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,etablissement_multi_lignes,rpi_concentre,rpi_disperse,code_nature,libelle_nature,Code_type_contrat_prive,PIAL,etablissement_mere,type_rattachement_etablissement_mere,code_bassin_formation,libelle_bassin_formation
0910898G,Ecole primaire privée Sainte Ernestine,Ecole,Privé,17 grande rue Grande Rue,,91510 LARDY,91510,91330,Lardy,91,25,11,1,1,,,,160823073,,,ce.0910898G@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.5181767,,,,,,,,,,,,,,,,,,,,,,,,,,
0910909U,Ecole primaire privée Sainte Suzanne,Ecole,Privé,3 avenue du Maréchal Foch,,91400 ORSAY,91400,91471,Orsay,91,25,11,1,1,,,,169284251,,,ce.0910909U@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.69991977,,,,,,,,,,,,,,,,,,,,,,,,,,
0910918D,Ecole primaire privée Notre-Dame,Ecole,Privé,2 rue du Gaizon,,91620 LA VILLE DU BOIS,91620,91665,La Ville-du-Bois,91,25,11,1,1,,,,169012817,,,ce.0910918D@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.66019029,,,,,,,,,,,,,,,,,,,,,,,,,,
0910921G,Ecole primaire privée Beth Rivkah,Ecole,Privé,43 avenue Raymond Poincaré,,91330 YERRES,91330,91691,Yerres,91,25,11,1,1,,,,169496270,,,ce.0910921G@ac-versailles.fr,1,1,1,,,,,,,,,,,,,,,7.85E+13,,,48.71075069,,,,,,,,,,,,,,,,,,,,,,,,,,
0911602X,Ecole primaire privée Rudolphe Steiner,Ecole,Privé,62 rue de Paris AMBLAINVILLIERS,,91370 VERRIERES LE BUISSON,91370,91645,Verrières-le-Buisson,91,25,11,1,1,,,,160113812,,,ce.0911602X@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.73921683,,,,,,,,,,,,,,,,,,,,,,,,,,
0911772G,Ecole primaire privée La Montessorine,Ecole,Privé,23 rue du Verger,,91800 BRUNOY,91800,91114,Brunoy,91,25,11,1,1,,,,160465520,,,ecole.la.montessorine@wanadoo.fr,1,0,0,,,,,,,,,,,,,,,4.15E+13,,,48.68891474,,,,,,,,,,,,,,,,,,,,,,,,,,
0912396K,Ecole maternelle privée Montessori Evolutive Palaiseau,Ecole,Privé,3 allée des Garays,,91120 PALAISEAU,91120,91477,Palaiseau,91,25,11,1,0,,,,169539340,,,contact@emepalaiseau.org,0,0,0,,,,,,,,,,,,,,,,,,48.71458434,,,,,,,,,,,,,,,,,,,,,,,,,,
0912397L,Ecole élémentaire privée Crayons de Miel,Ecole,Privé,116 rue Georges Coubard,,91800 BOUSSY ST ANTOINE,91800,91097,Boussy-Saint-Antoine,91,25,11,1,1,,,,644803730,,,afpfamilleseneveil@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.69243426,,,,,,,,,,,,,,,,,,,,,,,,,,
0912441J,Ecole élémentaire privée Montessori Evolutive Palaiseau,Ecole,Privé,3 allée des Garays,,91120 PALAISEAU,91120,91477,Palaiseau,91,25,11,1,1,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,48.71458434,,,,,,,,,,,,,,,,,,,,,,,,,,
0921073S,Ecole primaire privée Saint Joseph,Ecole,Privé,7 avenue Jean Jaurès,,92140 CLAMART,92140,92023,Clamart,92,25,11,1,1,,,,146420060,,,ce.0921073S@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,,,48.8011016,,,,,,,,,,,,,,,,,,,,,,,,,,
0921086F,Ecole primaire privée Jean Paul II,Ecole,Privé,24 rue de Marnes,,92380 GARCHES,92380,92033,Garches,92,25,11,1,1,,,,147410872,,,ce.0921086F@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,,,48.84093305,,,,,,,,,,,,,,,,,,,,,,,,,,
0921096S,Ecole primaire privée Nouvelle Emilie Brandt,Ecole,Privé,12 rue du Parc,,92300 LEVALLOIS PERRET,92300,92044,Levallois-Perret,92,25,11,1,1,,,,147585340,,,ce.0921096S@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.35E+13,,,48.89693739,,,,,,,,,,,,,,,,,,,,,,,,,,
0921107D,Ecole primaire privée Ecole Nouvelle d'Antony,Ecole,Privé,6 avenue d'Alembert,,92160 ANTONY,92160,92002,Antony,92,25,11,1,1,,,,143501383,,,ce.0921107D@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.77036286,,,,,,,,,,,,,,,,,,,,,,,,,,
0921117P,Ecole primaire privée La Source,Ecole,Privé,11 rue Ernest Renan,,92190 MEUDON,92190,92048,Meudon,92,25,11,1,1,,,,146269988,,,ce.0921117P@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.41E+13,,,48.81878618,,,,,,,,,,,,,,,,,,,,,,,,,,
0921131E,Ecole primaire privée Saint Joseph,Ecole,Privé,26 rue Godefroy,,92800 PUTEAUX,92800,92062,Puteaux,92,25,11,1,1,,,,147738531,,,ce.0921131E@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.88137271,,,,,,,,,,,,,,,,,,,,,,,,,,
0922727P,Ecole élémentaire privée Montessori Bilingue,Ecole,Privé,6 avenue de l'Imperatrice Joseph,,92500 RUEIL MALMAISON,92500,92063,Rueil-Malmaison,92,25,11,1,1,,,,,,,contact@ecole-montessori-rueil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.875164,,,,,,,,,,,,,,,,,,,,,,,,,,
0922735Y,Ecole maternelle privée Montessori Beautiful Minds,Ecole,Privé,104 avenue de la République,,92400 COURBEVOIE,92400,92026,Courbevoie,92,25,11,1,0,,,,146980538,,,courbevoie@beautifulminds-montessori.fr,0,0,0,,,,,,,,,,,,,,,,,,48.90258832,,,,,,,,,,,,,,,,,,,,,,,,,,
0922759Z,Ecole Elémentaire privée Montessori Internationale,Ecole,Privé,14 rue des Coudreaux,,92500 RUEIL MALMAISON,92500,92063,Rueil-Malmaison,92,25,11,1,1,,,,147080710,,,contact@emi-rueil.com,0,0,0,,,,,,,,,,,,,,,,,,48.86265122,,,,,,,,,,,,,,,,,,,,,,,,,,
0922792K,Ecole maternelle privée Pardess Haya,Ecole,Privé,54 rue Gardenat Lapostol,,92150 SURESNES,92150,92073,Suresnes,92,25,11,1,0,,,,664125632,,,braoudesylvain@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.87443528,,,,,,,,,,,,,,,,,,,,,,,,,,
0922812G,Ecole maternelle privée Montessori Bilingue,Ecole,Privé,140 rue Gallieni,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,0,,,,683176094,,,alexandrine.t@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.83623372,,,,,,,,,,,,,,,,,,,,,,,,,,
0922815K,Ecole maternelle Montessori de Neuilly sur Seine,Ecole,Privé,24 bis rue de la Ferme,,92200 NEUILLY SUR SEINE,92200,92051,Neuilly-sur-Seine,92,25,11,1,0,,,,664358399,,,direction.paris@ecole-montessori-colibris.com,0,0,0,,,,,,,,,,,,,,,,,,48.87802618,,,,,,,,,,,,,,,,,,,,,,,,,,
0922857F,Ecole maternelle privée  les petites canailles.,Ecole,Privé,36 rue Pierret,,92200 NEUILLY SUR SEINE,92200,92051,Neuilly-sur-Seine,92,25,11,1,0,,,,,,,elaporte@lespetitescanailles.fr,1,0,0,,,,,,,,,,,,,,,,,,48.88275106,,,,,,,,,,,,,,,,,,,,,,,,,,
0922862L,Ecole maternelle privée - Ecole Montessori Bilingue de Levallois Perret,Ecole,Privé,6 rue Barbès,,92300 LEVALLOIS PERRET,92300,92044,Levallois-Perret,92,25,11,1,0,,,,,,,mquere@penrith-education.com,0,0,0,,,,,,,,,,,,,,,,,,48.88985541,,,,,,,,,,,,,,,,,,,,,,,,,,
0922868T,Ecole primaire privée  - l'Ecole de l'Optimisme,Ecole,Privé,2 rue Emilien Colin,,92150 SURESNES,92150,92073,Suresnes,92,25,11,1,1,,,,,,,direction@ecole-de-loptimisme.fr,1,0,0,,,,,,,,,,,,,,,,,,48.87892731,,,,,,,,,,,,,,,,,,,,,,,,,,
0922952J,Ecole primaire privée montessori esclaibes clichy,Ecole,Privé,25 rue mozart,,92110 CLICHY,92110,92024,Clichy,92,25,11,1,1,,,,760596233,,,clichy@montessoriesclaibes.com,0,0,0,,,,,,,,,,,,,,,8.99E+13,,,48.90600963,,,,,,,,,,,,,,,,,,,,,,,,,,
0922961U,Ecole élémentaire privée l'autre école courbevoie molière,Ecole,Privé,10 rue Molière,,92400 COURBEVOIE,92400,92026,Courbevoie,92,25,11,0,1,,,,663308658,,,administration@lautreecole.fr,1,0,0,,,,,,,,,,,,,,,7.91E+13,,,48.89396462,,,,,,,,,,,,,,,,,,,,,,,,,,
0922968B,ECOLE ELEMENTAIRE PRIVEE Gerbert d'aurillac,Ecole,Privé,51 quai Alphonse Le Gallo,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,1,,,,,,,contact@ecole-gerbert-aurillac.fr,1,0,0,,,,,,,,,,,,,,,8.99E+13,,,48.83954786,,,,,,,,,,,,,,,,,,,,,,,,,,
0931085Z,Ecole primaire privée Saint Louis-Blanche de Castille,Ecole,Privé,22 avenue Detouche,,93250 VILLEMOMBLE,93250,93077,Villemomble,93,24,11,1,1,,,,148540645,,,ce.0931085Z@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,422,,48.88520265,,,,,,,,,,,,,,,,,,,,,,,,,,
0931091F,Ecole primaire privée Sainte Agnes,Ecole,Privé,25 avenue du Général Leclerc,,93270 SEVRAN,93270,93071,Sevran,93,24,11,1,1,,,,143837818,,,ce.0931091F@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,320,,48.93845874,,,,,,,,,,,,,,,,,,,,,,,,,,
0931094J,Ecole primaire privée Saint Vincent de Paul,Ecole,Privé,18 boulevard Félix Faure,,93200 ST DENIS,93200,93066,Saint-Denis,93,24,11,1,1,,,,148223456,,,ce.0931094J@ac-creteil.fr,0,0,1,,,,,,,,,,,,,,,7.86E+13,286,,48.93864267,,,,,,,,,,,,,,,,,,,,,,,,,,
0931100R,Ecole primaire privée Tébrotzassère,Ecole,Privé,1 BOULEVARD DU NORD,,93340 LE RAINCY,93340,93062,Le Raincy,93,24,11,1,1,,,,143011258,,,ce.0931100R@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,89,,48.90149119,,,,,,,,,,,,,,,,,,,,,,,,,,
0931103U,Ecole primaire privée Saint Joseph La Salle,Ecole,Privé,12 avenue du 8 Mai 1945,,93500 PANTIN,93500,93055,Pantin,93,24,11,1,1,,,,148458560,,,ce.0931103U@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,310,,48.89148491,,,,,,,,,,,,,,,,,,,,,,,,,,
0931105W,Ecole primaire privée Sainte Marthe,Ecole,Privé,33 ter rue Gabriel Josserand,,93500 PANTIN,93500,93055,Pantin,93,24,11,1,1,,,,148455915,,,ce.0931105W@ac-creteil.fr,1,0,1,,,,,,,,,,,,,,,3.89E+13,283,,48.905202,,,,,,,,,,,,,,,,,,,,,,,,,,
0931112D,Ecole primaire privée Fidélis,Ecole,Privé,19 rue Saint Denis,,93100 MONTREUIL,93100,93048,Montreuil,93,24,11,1,1,,,,142870883,,,ce.0931112D@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,227,,48.86982378,,,,,,,,,,,,,,,,,,,,,,,,,,
0931115G,Ecole primaire privée Notre Dame,Ecole,Privé,13 rue Eugène Masse,,93190 LIVRY GARGAN,93190,93046,Livry-Gargan,93,24,11,1,1,,,,143301992,,,ce.0931115G@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.15E+13,204,,48.9240356,,,,,,,,,,,,,,,,,,,,,,,,,,
0931116H,Ecole primaire privée Notre Dame,Ecole,Privé,Allée du Chanoine Piquet,,93260 LES LILAS,93260,93045,Les Lilas,93,24,11,1,1,,,,143639411,,,ce.0931116H@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,336,,48.88016621,,,,,,,,,,,,,,,,,,,,,,,,,,
0931131Z,Ecole primaire privée Saint Benoit de l'Europe,Ecole,Privé,39 rue Malmaison,,93172 BAGNOLET CEDEX,93172,93006,Bagnolet,93,24,11,1,1,,,,143621180,,,ce.0931131Z@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.94E+13,291,,48.86861748,,,,,,,,,,,,,,,,,,,,,,,,,,
0931134C,Ecole primaire privée Espérance,Ecole,Privé,35 avenue Anatole France,,93600 AULNAY SOUS BOIS,93600,93005,Aulnay-sous-Bois,93,24,11,1,1,,,,148198917,,,ce.0931134C@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.35E+13,173,,48.93507748,,,,,,,,,,,,,,,,,,,,,,,,,,
0931730A,Ecole primaire privée Les Benjamins,Ecole,Privé,37 rue Pierre Brossolette,,93500 PANTIN,93500,93055,Pantin,93,24,11,1,1,,,,148403225,,,ce.0931730A@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,215,,48.89324423,,,,,,,,,,,,,,,,,,,,,,,,,,
0932380G,Ecole A.G.S.J.S.C.,Ecole,Privé,48 rue DU CHEMIN VERT,,93800 EPINAY SUR SEINE,93800,93031,Epinay-sur-Seine,93,24,11,1,1,,,,158343118,,,ce.0932380G@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,4.21E+13,,,48.9584528,,,,,,,,,,,,,,,,,,,,,,,,,,
0932556Y,Ecole maternelle privée Les Merveilles,Ecole,Privé,17 rue Anatole France,,93110 ROSNY SOUS BOIS,93110,93064,Rosny-sous-Bois,93,24,11,1,0,,,,652122853,,,ce.0932556Y@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,5.32E+13,,,48.87245004,,,,,,,,,,,,,,,,,,,,,,,,,,
0932576V,Groupe Scolaire Privé Bellevue Muhammed Hamidullah (GSPB),Ecole,Privé,33 allée De Bellevue,,93390 CLICHY SOUS BOIS,93390,93014,Clichy-sous-Bois,93,24,11,1,1,,,,148194115,,,ce.0932576V@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.9141426,,,,,,,,,,,,,,,,,,,,,,,,,,
0932671Y,Ecole élémentaire privée La Plume de l'Education,Ecole,Privé,01 rue ERIC TABARLY,,93140 BONDY,93140,93010,Bondy,93,24,11,1,1,,,,148474115,,,ce.0932671Y@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,,,,48.91238167,,,,,,,,,,,,,,,,,,,,,,,,,,
0932743B,Ecole Internationale Mae C.Jemison,Ecole,Privé,71 rue Albert Dhalenne,,93400 ST OUEN SUR SEINE,93400,93070,Saint-Ouen-sur-Seine,93,24,11,1,1,,,,179641507,,,ce.0932743B@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.91376859,,,,,,,,,,,,,,,,,,,,,,,,,,
0940961J,Ecole primaire privée Saint Joseph,Ecole,Privé,2 ter rue de la Citadelle,,94230 CACHAN,94230,94016,Cachan,94,24,11,1,1,,,,149691122,,,ce.0940961J@ac-creteil.fr,1,0,1,,,,,,,,,,,,,,,7.78E+13,315,,48.79820072,,,,,,,,,,,,,,,,,,,,,,,,,,
0940968S,Ecole primaire privée Saint André,Ecole,Privé,12 avenue Léon Gourdault,,94600 CHOISY LE ROI,94600,94022,Choisy-le-Roi,94,24,11,1,1,,,,148847320,,,ce.0940968s@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,310,,48.76344529,,,,,,,,,,,,,,,,,,,,,,,,,,
0940969T,Ecole primaire privée Saint Louis-Blaise Pascal,Ecole,Privé,6 rue de Verdun,,94600 CHOISY LE ROI,94600,94022,Choisy-le-Roi,94,24,11,1,1,,,,148841095,,,ce.0940969T@ac-creteil.fr,1,0,1,,,,,,,,,,,,,,,7.86E+13,368,,48.76848899,,,,,,,,,,,,,,,,,,,,,,,,,,
0940980E,Ecole primaire privée Jean XXIII,Ecole,Privé,207 avenue Maurice Thorez,,94200 IVRY SUR SEINE,94200,94041,Ivry-sur-Seine,94,24,11,1,1,,,,146722960,,,ce.0940980E@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,339,,48.81169933,,,,,,,,,,,,,,,,,,,,,,,,,,
0940988N,Ecole primaire privée Saint François,Ecole,Privé,40 bis rue Victor Hugo,,94700 MAISONS ALFORT,94700,94046,Maisons-Alfort,94,24,11,1,1,,,,143780174,,,ce.0940988N@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,341,,48.79967538,,,,,,,,,,,,,,,,,,,,,,,,,,
0940989P,Ecole primaire privée Sainte Thérèse,Ecole,Privé,110 avenue du Général de Gaulle,,94700 MAISONS ALFORT,94700,94046,Maisons-Alfort,94,24,11,1,1,,,,143766153,,,ce.0940989P@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,7.86E+13,391,,48.8021268,,,,,,,,,,,,,,,,,,,,,,,,,,
0942229M,Ecole Maternelle Privée School Time,Ecole,Privé,41 avenue HENRI MARTIN,,94100 ST MAUR DES FOSSES,94100,94068,Saint-Maur-des-Fossés,94,24,11,1,0,,,,148892625,,,ce.0942229M@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.79776994,,,,,,,,,,,,,,,,,,,,,,,,,,
0942410J,Ecole Primaire Montessori 101,Ecole,Privé,42 rue DANTON,,94270 LE KREMLIN BICETRE,94270,94043,Le Kremlin-Bicêtre,94,24,11,1,1,,,,609638929,,,ce.0942410J@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,,,,48.81087847,,,,,,,,,,,,,,,,,,,,,,,,,,
0950844B,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,2 chemin DES TARTRES,,95220 HERBLAY SUR SEINE,95220,95306,Herblay-sur-Seine,95,25,11,1,1,,,,139973567,,,ce.0950844B@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.04E+13,,,48.99821846,,,,,,,,,,,,,,,,,,,,,,,,,,
0950846D,Ecole primaire privée Institution Notre-Dame,Ecole,Privé,39 rue Saint Lazare,,95290 L ISLE ADAM,95290,95313,L'Isle-Adam,95,25,11,1,1,,,,134690107,,,ce.0950846D@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,,,49.109178,,,,,,,,,,,,,,,,,,,,,,,,,,
0950861V,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,8 rue des Ecoles,,95230 SOISY SOUS MONTMORENCY,95230,95598,Soisy-sous-Montmorency,95,25,11,1,1,,,,134175158,,,ce.0950861V@ac-versailles.fr,1,1,0,,,,,,,,,,,,,,,3.14E+13,,,48.98697087,,,,,,,,,,,,,,,,,,,,,,,,,,
0952131A,Ecole élémentaire privée Institut Paul Ricoeur,Ecole,Privé,85 rue de Paris,,95380 LOUVRES,95380,95351,Louvres,95,25,11,1,1,,,,134728702,,,ce.0952131A@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,5.09E+13,,,49.04367546,,,,,,,,,,,,,,,,,,,,,,,,,,
0952175Y,Ecole élémentaire privée Bilingue Franco-Arménienne HRANT DINK,Ecole,Privé,40 rue SAINT JUSTE,,95400 ARNOUVILLE,95400,95019,Arnouville,95,25,11,1,1,,,,139872229,,,ecolehrantdink@gmail.com,0,0,0,,,,,,,,,,,,,,,5.00E+13,,,48.98972129,,,,,,,,,,,,,,,,,,,,,,,,,,
0952192S,Ecole privée La Maison des Enfants,Ecole,Privé,10 avenue de Verdun,,95150 TAVERNY,95150,95607,Taverny,95,25,11,1,1,,,,981755750,,,maisondesenfants95@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,49.01673247,,,,,,,,,,,,,,,,,,,,,,,,,,
0952216T,Ecole élémentaire privée l'espérance,Ecole,Privé,5 avenue du Maréchal Joffre,,95270 LUZARCHES,95270,95352,Luzarches,95,25,11,1,1,,,,609743148,,,ecole-lesperance@hotmail.fr,0,0,0,,,,,,,,,,,,,,,,,,49.11704694,,,,,,,,,,,,,,,,,,,,,,,,,,
0952217U,Ecole élémentaire privée Internationale Trilingue de Cergy,Ecole,Privé,32 rue DE VAUREAL,,95000 CERGY,95000,95127,Cergy,95,25,11,1,1,,,,684768234,,,contact@advenadomi.com,0,0,0,,,,,,,,,,,,,,,,,,49.04277498,,,,,,,,,,,,,,,,,,,,,,,,,,
0750161T,E.P.PR SAINTE-GENEVIEVE 64 rue d'Assas,Ecole,Privé,64 rue d'Assas,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,1,,,,144390100,,,ce.0750161T@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,196,,48.84578892,,,,,,,,,,,,,,,,,,,,,,,,,,
0750167Z,E.P.PR STANISLAS 22 rue Notre Dame des Champs,Ecole,Privé,22 rue Notre Dame des Champs,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,1,,,,142848800,,,ce.0750167Z@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,5.72E+13,483,,48.84559703,,,,,,,,,,,,,,,,,,,,,,,,,,
0750171D,E.E.PR L'ALMA 12 avenue Bosquet,Ecole,Privé,12 avenue Bosquet,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,0,1,,,,144186282,,,ce.0750171D@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,258,,48.86051869,,,,,,,,,,,,,,,,,,,,,,,,,,
0750179M,E.P.PR JEANNINE.MANUEL 15 rue Edgar Faure,Ecole,Privé,15 rue Edgar Faure,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,1,,,,144490943,,,ce.0750179M@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,3.31E+13,,,48.85278048,,,,,,,,,,,,,,,,,,,,,,,,,,
0750187W,E.P.PR JEANNINE MANUEL 141 avenue de Suffren,Ecole,Privé,141 avenue de Suffren,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,1,,,,142544583,,,ce.0750187W@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,3.31E+13,193,,48.84743705,,,,,,,,,,,,,,,,,,,,,,,,,,
